,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
54081,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)'})","frozenset({'Weather_Rain', 'Animal_None/Other', 'Impairment_None', 'RoadCharacteristics_Not at a Junction'})",0.0015333939118582463,0.035296456156292594,0.0012778282598818718,0.8333333333333333,23.6095467953875,0.0012237048889016413,5.788221263062241
79988,"frozenset({'Weather_Rain', 'InjuryType_Property Damage Only', 'Impairment_Alcohol', 'RoadCharacteristics_Not at a Junction'})","frozenset({'SurfaceCondition_Wet', 'Animal_None/Other', 'DayNight_Night'})",0.0017605633802816902,0.031179009541117672,0.0012778282598818718,0.7258064516129031,23.278688524590162,0.0012229356374503265,3.53334714167357
59481,"frozenset({'Weather_Rain', 'InjuryType_Property Damage Only', 'Impairment_Alcohol'})","frozenset({'SurfaceCondition_Wet', 'Animal_None/Other', 'DayNight_Night'})",0.0024136756019990913,0.031179009541117672,0.0017321671967287598,0.7176470588235294,23.016993464052288,0.001656911182104867,3.4312410078752085
34073,frozenset({'SurfaceCondition_Water (standing / moving)'}),"frozenset({'Weather_Rain', 'Animal_None/Other', 'Impairment_None', 'RoadCharacteristics_Not at a Junction'})",0.002044525215810995,0.035296456156292594,0.0016469786460699683,0.8055555555555556,22.82256190220792,0.0015748141514296608,4.96133251119621
39654,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)'})","frozenset({'Weather_Rain', 'Impairment_None', 'RoadCharacteristics_Not at a Junction'})",0.0015333939118582463,0.03768173557473876,0.0012778282598818718,0.8333333333333333,22.115046470735994,0.0012200473159633151,5.773909586551565
54069,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'Animal_None/Other'})","frozenset({'Weather_Rain', 'Impairment_None', 'RoadCharacteristics_Not at a Junction'})",0.0015333939118582463,0.03768173557473876,0.0012778282598818718,0.8333333333333333,22.115046470735994,0.0012200473159633151,5.773909586551565
25879,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)'})","frozenset({'Weather_Rain', 'Animal_None/Other', 'RoadCharacteristics_Not at a Junction'})",0.0015333939118582463,0.039016356201726485,0.0013062244434348023,0.8518518518518517,21.833198555178175,0.001246397000372182,6.486639595638342
54056,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'Impairment_None'})","frozenset({'Weather_Rain', 'Animal_None/Other', 'RoadCharacteristics_Not at a Junction'})",0.0015049977283053157,0.039016356201726485,0.0012778282598818718,0.8490566037735849,21.761555573865042,0.0012191087324315225,6.366516640163564
34069,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Animal_None/Other'})","frozenset({'Weather_Rain', 'Impairment_None', 'RoadCharacteristics_Not at a Junction'})",0.0020161290322580645,0.03768173557473876,0.0016469786460699683,0.8169014084507042,21.678975131876413,0.001571007404991866,5.255738213399504
71406,"frozenset({'Weather_Rain', 'InjuryType_Property Damage Only', 'Impairment_Alcohol', 'RoadCharacteristics_Not at a Junction'})","frozenset({'SurfaceCondition_Wet', 'DayNight_Night'})",0.0017605633802816902,0.03376306224443435,0.0012778282598818718,0.7258064516129031,21.497056349873837,0.0012183862488881494,3.5239229494614737
79965,"frozenset({'Weather_Rain', 'RoadCharacteristics_Not at a Junction', 'InjuryType_Property Damage Only', 'Animal_None/Other', 'Impairment_Alcohol'})","frozenset({'SurfaceCondition_Wet', 'DayNight_Night'})",0.0017605633802816902,0.03376306224443435,0.0012778282598818718,0.7258064516129031,21.497056349873837,0.0012183862488881494,3.5239229494614737
17445,frozenset({'SurfaceCondition_Water (standing / moving)'}),"frozenset({'RoadCharacteristics_Not at a Junction', 'Weather_Rain', 'Impairment_None'})",0.002044525215810995,0.03768173557473876,0.0016469786460699683,0.8055555555555556,21.377878255044795,0.0015699373875118926,4.949065359901344
10753,frozenset({'SurfaceCondition_Water (standing / moving)'}),"frozenset({'RoadCharacteristics_Not at a Junction', 'Animal_None/Other', 'Weather_Rain'})",0.002044525215810995,0.039016356201726485,0.0017037710131758291,0.8333333333333333,21.35856380397865,0.0016240010890923356,5.765901862789638
59468,"frozenset({'Weather_Rain', 'InjuryType_Property Damage Only', 'Animal_None/Other', 'Impairment_Alcohol'})","frozenset({'SurfaceCondition_Wet', 'DayNight_Night'})",0.0024136756019990913,0.03376306224443435,0.0017321671967287598,0.7176470588235294,21.255390095483104,0.001650674117140592,3.4220891545509615
42222,"frozenset({'Weather_Rain', 'InjuryType_Property Damage Only', 'Impairment_Alcohol'})","frozenset({'SurfaceCondition_Wet', 'DayNight_Night'})",0.0024136756019990913,0.03376306224443435,0.0017321671967287598,0.7176470588235294,21.255390095483104,0.001650674117140592,3.4220891545509615
34062,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Impairment_None'})","frozenset({'Weather_Rain', 'Animal_None/Other', 'RoadCharacteristics_Not at a Junction'})",0.001987732848705134,0.039016356201726485,0.0016469786460699683,0.8285714285714287,21.236514867955922,0.0015694245532110163,5.6057379221566
35862,"frozenset({'InjuryType_Property Damage Only', 'SurfaceCondition_Water (standing / moving)'})","frozenset({'Weather_Rain', 'Animal_None/Other', 'RoadCharacteristics_Not at a Junction'})",0.0012494320763289414,0.039016356201726485,0.0010222626079054976,0.8181818181818182,20.97022628026995,0.0009735143209655848,5.285410040890506
