,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
9218,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Animal_None/Other'})","frozenset({'Weather_Rain', 'Impairment_None'})",0.0021016756603237717,0.06731042317523431,0.0017892644135188867,0.8513513513513513,12.6481354772494,0.0016477997354454037,6.274457153184786
3930,"frozenset({'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction'})",frozenset({'Weather_Rain'}),0.0018744674808293098,0.0720533939221812,0.0017040613462084636,0.9090909090909092,12.616906152578206,0.0015689996024179508,10.207412666856015
17269,"frozenset({'SurfaceCondition_Water (standing / moving)', 'InjuryType_Property Damage Only'})","frozenset({'Weather_Rain', 'Impairment_None'})",0.0013064470320931553,0.06731042317523431,0.0011076398750355012,0.8478260869565217,12.595762245459548,0.001019702372449282,6.1291029334198885
17567,"frozenset({'SurfaceCondition_Water (standing / moving)', 'RoadCharacteristics_Not at a Junction', 'Impairment_None'})",frozenset({'Weather_Rain'}),0.0018176654359556945,0.0720533939221812,0.001647259301334848,0.9062499999999999,12.577478320851398,0.0015162903376591992,9.898097131496721
10479,"frozenset({'SurfaceCondition_Water (standing / moving)', 'InjuryType_Property Damage Only'})","frozenset({'Weather_Rain', 'Animal_None/Other'})",0.0013064470320931553,0.06955410394774211,0.001136040897472309,0.8695652173913044,12.501997265964816,0.0010451721447998824,7.133418536400649
3305,frozenset({'SurfaceCondition_Water (standing / moving)'}),"frozenset({'Weather_Rain', 'Impairment_None'})",0.0021300766827605793,0.06731042317523431,0.0017892644135188867,0.8400000000000001,12.479493670886077,0.0016458880506065728,5.829309855154789
1611,frozenset({'SurfaceCondition_Water (standing / moving)'}),"frozenset({'Weather_Rain', 'Animal_None/Other'})",0.0021300766827605793,0.06955410394774211,0.001846066458392502,0.8666666666666667,12.460323941744932,0.001697910883383111,6.978344220391936
33673,"frozenset({'SurfaceCondition_Water (standing / moving)', 'InjuryType_Property Damage Only', 'Impairment_None'})","frozenset({'Weather_Rain', 'Animal_None/Other'})",0.0012780460096563477,0.06955410394774211,0.0011076398750355012,0.8666666666666666,12.46032394174493,0.0010187465300298666,6.97834422039193
2262,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)'})",frozenset({'Weather_Rain'}),0.0016188582788980402,0.0720533939221812,0.001448452144277194,0.8947368421052632,12.417691844905919,0.0013318079110035692,8.815492757739278
6625,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'Animal_None/Other'})",frozenset({'Weather_Rain'}),0.0016188582788980402,0.0720533939221812,0.001448452144277194,0.8947368421052632,12.417691844905919,0.0013318079110035692,8.815492757739278
9217,"frozenset({'SurfaceCondition_Water (standing / moving)', 'Impairment_None'})","frozenset({'Weather_Rain', 'Animal_None/Other'})",0.002073274637886964,0.06955410394774211,0.0017892644135188867,0.8630136986301369,12.407804135878775,0.0016450596538430794,6.792255041181478
12577,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'Impairment_None'})",frozenset({'Weather_Rain'}),0.0015904572564612327,0.0720533939221812,0.0014200511218403862,0.8928571428571428,12.391604256996452,0.0013054532786241934,8.660834990059637
23250,"frozenset({'DayNight_Day', 'SurfaceCondition_Water (standing / moving)', 'Impairment_None', 'Animal_None/Other'})",frozenset({'Weather_Rain'}),0.0015904572564612327,0.0720533939221812,0.0014200511218403862,0.8928571428571428,12.391604256996452,0.0013054532786241934,8.660834990059637
10477,"frozenset({'SurfaceCondition_Water (standing / moving)', 'InjuryType_Property Damage Only', 'Animal_None/Other'})",frozenset({'Weather_Rain'}),0.0012780460096563477,0.0720533939221812,0.001136040897472309,0.8888888888888888,12.33653046029869,0.0010439533448878683,8.351519454700366
